millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
38758, 0.623, -0.272, 0.785, -0.061, 0.610, -1.526, 25.930, -0.719, -0.667, 0.053, -7.874, 3.479, 6.165, 23.369, 0.002, 0.562, -0.853, 2.991, 10.193, -4.822, 21.132, 23.850, 20.670
38793, 0.623, -0.274, 0.782, -0.977, 0.610, -0.366, 25.930, -0.720, -0.666, 0.083, 2.136, 0.610, -0.610, 23.354, 0.031, 0.588, -0.845, 2.747, 2.869, -1.709, 21.111, 23.850, 20.670
38826, 0.629, -0.273, 0.787, -0.854, 0.244, 1.221, 25.942, -0.721, -0.666, 0.070, 0.061, -0.122, 2.563, 23.351, 0.011, 0.585, -0.849, 4.150, 8.362, -9.827, 21.138, 23.910, 20.670
38859, 0.646, -0.272, 0.787, -0.671, -0.061, 1.709, 25.927, -0.738, -0.668, 0.078, 2.258, -0.427, 1.587, 23.351, -0.027, 0.576, -0.854, 4.700, 11.658, -10.254, 21.159, 23.910, 20.670
38894, 0.650, -0.276, 0.785, -1.404, 0.427, 2.197, 25.933, -0.748, -0.672, 0.080, 3.906, -1.099, -1.221, 23.369, -0.012, 0.590, -0.854, 7.385, 4.333, -5.859, 21.117, 23.910, 20.670
38927, 0.651, -0.289, 0.785, -2.319, 1.343, 3.418, 25.915, -0.737, -0.673, 0.089, 4.578, -1.953, -2.502, 23.354, -0.026, 0.585, -0.867, 6.287, 9.583, -12.695, 21.144, 23.870, 20.670
38960, 0.647, -0.295, 0.794, -1.892, 1.160, 3.479, 25.945, -0.727, -0.676, 0.101, 5.493, -2.197, -2.625, 23.366, -0.053, 0.574, -0.885, 10.071, 9.766, -7.446, 21.129, 23.870, 20.650
38995, 0.654, -0.298, 0.789, -1.953, 1.343, 3.235, 25.900, -0.733, -0.680, 0.100, 3.052, -2.258, 0.610, 23.378, -0.007, 0.588, -0.887, 7.812, 1.343, -1.099, 21.129, 23.870, 20.650
39027, 0.646, -0.293, 0.788, -1.831, 1.465, 2.014, 25.936, -0.734, -0.681, 0.098, 2.930, -1.221, -0.549, 23.345, -0.016, 0.588, -0.867, 9.094, 3.357, -9.521, 21.120, 23.850, 20.650
39061, 0.647, -0.294, 0.783, -1.587, 1.831, 1.404, 25.924, -0.729, -0.674, 0.097, 3.845, 0.488, -1.953, 23.369, -0.046, 0.572, -0.861, 9.583, 10.132, -10.925, 21.150, 23.850, 20.670
