millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
162673, 0.761, 0.105, 0.476, -52.917, 45.593, -4.883, 23.869, 0.048, -0.870, 0.008, -15.137, 40.588, -63.477, 21.782, -0.346, 0.751, -0.470, 42.542, 30.457, 9.094, 19.694, 24.230, 17.370
162707, 0.766, -0.170, 0.438, -58.228, 46.387, -16.663, 23.860, 0.217, -0.697, 0.183, 2.625, 69.641, -49.988, 21.788, -0.360, 0.614, -0.587, 34.607, 5.676, 16.785, 19.706, 24.750, 17.370
162743, 0.630, -0.240, 0.448, -33.020, 47.729, -34.485, 23.854, 0.177, -0.519, 0.240, -34.241, 38.879, -30.640, 21.779, -0.211, 0.558, -0.642, 33.508, -3.723, 67.505, 19.694, 24.750, 17.370
162777, 0.505, -0.121, 0.451, -7.324, 45.410, -48.401, 23.866, 0.118, -0.524, 0.031, -59.448, 30.212, -1.221, 21.767, -0.024, 0.562, -0.527, -1.831, 1.282, 58.167, 19.688, 24.750, 17.370
162811, 0.420, 0.036, 0.472, 6.165, 38.635, -50.476, 23.860, 0.020, -0.600, -0.085, -49.683, 19.470, 13.245, 21.785, 0.050, 0.567, -0.369, -28.259, 4.456, 31.677, 19.682, 24.870, 17.370
162847, 0.387, 0.136, 0.670, 13.672, 19.470, -42.664, 23.851, -0.020, -0.741, -0.303, -43.945, 4.395, 19.653, 21.752, 0.191, 0.646, -0.460, -4.395, 0.000, 51.147, 19.670, 24.870, 17.390
162881, 0.320, 0.233, 0.773, 13.184, 0.061, -28.320, 23.869, -0.038, -0.845, -0.446, -13.428, 1.404, 28.687, 21.776, 0.222, 0.728, -0.536, 7.874, -0.671, 41.077, 19.700, 24.870, 17.390
162915, 0.584, 0.332, 0.393, 10.071, -8.911, -15.564, 23.854, -0.215, -0.732, -0.070, 32.959, 31.799, 41.626, 21.764, -0.105, 0.716, -0.073, -36.438, 14.709, -26.733, 19.700, 25.110, 17.390
162951, 0.784, 0.272, 0.381, -2.563, -1.770, -13.733, 23.845, -0.240, -0.826, 0.202, -0.916, 25.757, 17.456, 21.770, -0.283, 0.728, -0.153, -1.343, 34.363, -32.349, 19.664, 25.110, 17.390
162985, 0.894, 0.332, 0.559, -2.319, -10.925, -8.606, 23.845, -0.304, -1.086, 0.050, -12.390, 6.897, -0.122, 21.770, -0.263, 1.138, -0.303, 72.449, -26.001, 42.358, 19.700, 25.110, 17.390
163022, 1.224, 0.735, 0.406, -4.700, -23.437, 5.432, 23.848, -0.694, -1.315, 0.328, 28.870, 28.625, 8.789, 21.752, -0.192, 1.274, -0.136, 0.122, -17.517, -28.870, 19.694, 24.990, 17.390
163056, 1.218, 0.582, 0.342, -2.075, 21.606, 25.879, 23.845, -0.628, -1.104, 0.361, 4.517, -19.836, -33.752, 21.779, -0.432, 1.157, -0.007, 8.911, 43.823, -39.795, 19.706, 24.990, 17.410
163090, 1.067, 0.542, 0.508, -6.958, 27.283, 31.921, 23.848, -0.470, -1.196, 0.139, -25.146, -30.273, -42.358, 21.770, -0.220, 1.149, -0.272, 59.387, 28.442, 4.150, 19.688, 24.990, 17.410
163126, 0.947, 0.382, 0.621, -8.118, 18.066, 40.161, 23.854, -0.208, -1.099, 0.007, 5.859, -27.710, -42.236, 21.737, -0.239, 1.114, -0.460, 47.729, 26.917, -16.296, 19.682, 24.990, 17.370
163160, 0.932, 0.311, 0.652, -2.808, 11.902, 31.067, 23.875, -0.169, -1.067, 0.015, 0.793, -19.653, -32.715, 21.767, -0.217, 1.100, -0.499, 25.269, 28.992, -25.269, 19.664, 24.990, 17.370
163206, 0.916, 0.285, 0.600, 1.038, 7.751, 21.545, 23.875, -0.145, -1.036, 0.045, 7.690, -13.184, -17.151, 21.773, -0.263, 1.006, -0.467, 12.146, 23.926, -18.860, 19.694, 25.250, 17.370
163242, 0.848, 0.233, 0.566, 5.676, 17.090, 16.235, 23.875, -0.118, -0.910, 0.076, 7.446, -13.977, -12.207, 21.767, -0.183, 0.875, -0.444, -0.427, 31.616, -3.723, 19.670, 25.250, 17.350
163276, 0.710, 0.126, 0.736, 7.751, 17.639, 11.414, 23.866, 0.095, -0.896, -0.139, -22.461, -31.067, -13.916, 21.773, -0.042, 0.842, -0.638, 7.324, 34.668, 24.170, 19.688, 25.250, 17.350
163310, 0.480, -0.012, 0.951, 14.282, 2.441, 3.540, 23.869, 0.258, -0.914, -0.402, -15.320, -30.273, 0.916, 21.782, 0.188, 0.774, -0.908, 8.301, 21.667, 52.979, 19.670, 25.310, 17.350
163346, 0.348, 0.009, 0.753, 32.104, -6.836, -0.305, 23.839, 0.168, -0.616, -0.329, 28.198, -23.621, 28.503, 21.758, 0.232, 0.657, -0.607, -59.265, 11.902, -20.447, 19.676, 25.310, 17.350
163380, 0.295, 0.181, 0.704, 39.490, -10.864, -13.123, 23.857, 0.012, -0.630, -0.394, 0.366, -16.479, 33.630, 21.776, 0.251, 0.529, -0.362, -64.331, -6.531, -37.964, 19.673, 25.310, 17.350
163416, 0.218, 0.291, 0.590, 24.292, -16.174, -6.287, 23.845, -0.050, -0.656, -0.436, 18.311, -9.644, 25.757, 21.785, 0.187, 0.479, -0.265, -34.607, -8.240, -26.123, 19.673, 25.430, 17.350
163450, 0.331, 0.195, 0.502, 5.798, -18.433, 2.930, 23.875, -0.045, -0.544, -0.200, 35.645, 5.249, 10.864, 21.770, 0.082, 0.474, -0.279, -0.366, 19.714, -7.324, 19.664, 25.430, 17.350
163484, 0.420, 0.113, 0.430, 2.869, -18.433, 3.113, 23.845, 0.008, -0.526, -0.078, 19.165, 2.380, 6.958, 21.767, 0.015, 0.523, -0.300, 14.893, 6.042, 7.874, 19.679, 25.470, 17.350
163520, 0.528, 0.117, 0.489, 7.690, -16.968, 1.526, 23.848, -0.027, -0.649, -0.028, 8.484, -2.075, 10.498, 21.779, -0.005, 0.626, -0.351, -5.371, 4.700, -9.705, 19.655, 25.470, 17.370
163555, 0.531, 0.141, 0.572, 12.939, -21.851, 4.089, 23.833, -0.034, -0.758, -0.127, 7.202, -10.742, 19.653, 21.764, -0.008, 0.700, -0.450, 7.080, -3.723, -6.470, 19.667, 25.470, 17.370
163589, 0.763, 0.223, 0.301, 18.188, -22.705, 9.460, 23.878, -0.242, -0.759, 0.208, 43.274, 10.071, 33.142, 21.785, -0.247, 0.774, -0.187, -15.564, 31.921, -44.922, 19.658, 25.410, 17.370
163625, 1.076, 0.375, 0.190, 16.724, -10.803, 11.353, 23.872, -0.428, -0.884, 0.497, 11.841, 5.005, 17.456, 21.749, -0.435, 0.921, 0.057, -10.376, 13.184, -40.588, 19.694, 25.410, 17.370
163659, 1.164, 0.600, 0.483, 18.372, -19.470, 12.451, 23.881, -0.553, -1.376, 0.153, -31.799, -23.865, 6.042, 21.752, -0.556, 1.420, -0.184, 71.350, 10.254, -1.587, 19.676, 25.410, 17.370
163695, 1.479, 0.685, 0.439, -7.690, -20.020, 33.325, 23.860, -0.653, -1.496, 0.409, 60.120, -6.592, 2.808, 21.773, -0.576, 1.432, -0.256, 11.414, -19.409, -38.147, 19.667, 25.230, 17.370
