millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
307140, 1.527, -0.726, 0.004, -7.202, 24.719, -31.433, 23.621, -0.248, -1.086, 1.006, 27.344, 56.091, -65.552, 22.174, -0.658, 1.120, -0.979, -9.644, -5.737, 37.476, 21.473, 19.230, 18.170
307177, 1.261, -0.607, 0.094, -4.761, 33.997, -45.410, 23.618, -0.222, -0.883, 0.892, -0.488, 55.481, 13.062, 22.189, -0.360, 1.076, -0.877, -15.137, -0.916, 51.575, 21.482, 19.130, 18.170
307211, 1.192, -0.410, 0.125, 0.244, 39.734, -56.702, 23.609, -0.442, -0.795, 0.742, -14.343, 57.617, 42.358, 22.204, -0.295, 1.000, -0.640, -25.330, -5.737, 47.974, 21.524, 19.130, 18.190
307245, 1.113, -0.204, 0.172, -4.456, 45.288, -55.481, 23.627, -0.564, -0.734, 0.615, -7.446, 65.979, 23.376, 22.171, -0.226, 0.906, -0.461, -19.470, -16.357, 56.641, 21.467, 19.190, 18.190
307282, 0.936, -0.113, 0.196, -16.418, 47.058, -49.316, 23.621, -0.530, -0.642, 0.479, -2.319, 68.115, -3.662, 22.171, -0.133, 0.771, -0.376, 1.587, -18.738, 56.274, 21.485, 19.190, 18.190
307317, 0.795, -0.117, 0.262, -27.222, 46.570, -36.499, 23.606, -0.462, -0.593, 0.356, 3.906, 71.655, -19.226, 22.174, 0.026, 0.639, -0.385, 14.954, -35.034, 58.350, 21.500, 19.190, 18.170
307354, 0.616, -0.129, 0.311, -29.663, 38.452, -28.198, 23.591, -0.381, -0.512, 0.250, 10.193, 62.805, -33.020, 22.192, 0.144, 0.576, -0.411, 12.390, -36.438, 47.913, 21.497, 19.130, 18.170
307388, 0.497, -0.117, 0.392, -23.437, 29.907, -23.071, 23.615, -0.335, -0.456, 0.110, 14.832, 53.772, -23.010, 22.186, 0.292, 0.516, -0.371, 10.986, -43.701, 32.349, 21.515, 19.130, 18.190
307422, 0.371, 0.016, 0.495, -20.020, 19.531, -12.085, 23.612, -0.442, -0.442, 0.002, 16.785, 35.583, 1.770, 22.171, 0.476, 0.476, -0.328, 0.122, -58.228, 15.381, 21.479, 19.130, 18.190
307459, 0.264, -0.003, 0.467, -11.597, -13.855, -5.554, 23.618, -0.383, -0.370, -0.028, 22.095, -6.592, -2.747, 22.189, 0.357, 0.379, -0.318, -10.315, -28.137, -38.818, 21.494, 19.230, 18.190
