millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
81647, 0.773, 0.326, 0.623, 3.601, 3.601, 5.859, 24.816, -0.403, -0.904, 0.075, -2.808, -3.174, 2.136, 21.692, -0.221, 0.882, -0.379, 1.282, 12.085, -13.184, 19.934, 25.810, 19.830
81679, 0.770, 0.325, 0.620, 3.052, 3.601, 8.057, 24.816, -0.388, -0.902, 0.082, -2.808, -4.456, -0.854, 21.686, -0.218, 0.897, -0.391, 11.353, 12.024, 4.028, 19.949, 25.810, 19.850
81711, 0.780, 0.305, 0.625, 0.305, 4.517, 8.606, 24.828, -0.375, -0.921, 0.080, -2.014, -4.272, -1.831, 21.719, -0.207, 0.904, -0.417, 15.564, 13.245, -1.587, 19.928, 25.810, 19.850
81746, 0.781, 0.291, 0.634, -0.305, 3.662, 8.118, 24.813, -0.360, -0.912, 0.081, 1.404, -5.188, -2.686, 21.731, -0.232, 0.894, -0.439, 9.949, 11.169, -3.601, 19.943, 25.910, 19.850
81778, 0.793, 0.289, 0.629, -0.488, 4.333, 7.568, 24.807, -0.369, -0.917, 0.108, -1.587, -5.981, -3.906, 21.686, -0.233, 0.898, -0.426, 11.780, 9.277, 1.648, 19.937, 25.910, 19.870
81810, 0.786, 0.278, 0.636, -0.671, 4.578, 6.653, 24.807, -0.340, -0.925, 0.089, 1.892, -2.563, -3.601, 21.683, -0.219, 0.903, -0.448, 11.902, 11.902, 1.343, 19.934, 25.910, 19.870
81844, 0.793, 0.263, 0.635, -0.854, 3.479, 5.249, 24.810, -0.342, -0.908, 0.097, 2.747, -2.869, -1.404, 21.692, -0.238, 0.902, -0.455, 8.423, 8.911, -5.798, 19.943, 25.910, 19.870
81876, 0.799, 0.268, 0.625, 0.061, 3.479, 4.333, 24.825, -0.359, -0.898, 0.119, -0.183, -1.770, -1.404, 21.698, -0.248, 0.892, -0.440, 7.996, 7.812, -0.244, 19.931, 25.910, 19.870
81908, 0.792, 0.272, 0.636, 1.099, 3.967, 3.174, 24.822, -0.359, -0.916, 0.096, -2.380, -1.404, 0.000, 21.707, -0.228, 0.900, -0.452, 7.812, 7.507, 2.747, 19.940, 25.910, 19.870
81943, 0.793, 0.281, 0.634, 0.977, 3.540, 2.136, 24.822, -0.363, -0.920, 0.095, -0.854, -0.549, 0.977, 21.725, -0.220, 0.901, -0.440, 5.432, 5.859, 1.648, 19.937, 25.910, 19.870
81975, 0.792, 0.282, 0.627, 0.854, 3.418, 1.343, 24.819, -0.370, -0.907, 0.102, 0.000, -0.610, 0.488, 21.716, -0.221, 0.903, -0.427, 6.897, 6.714, 3.479, 19.940, 25.910, 19.850
82007, 0.788, 0.294, 0.632, 0.671, 3.174, 1.282, 24.807, -0.378, -0.917, 0.078, -2.319, -0.122, 0.427, 21.695, -0.203, 0.907, -0.431, 6.653, 5.249, 2.991, 19.937, 25.910, 19.850
82041, 0.786, 0.298, 0.626, 0.305, 2.747, 1.465, 24.798, -0.379, -0.911, 0.087, 1.953, -0.122, -0.122, 21.671, -0.215, 0.897, -0.419, 5.737, 6.409, -1.221, 19.940, 25.970, 19.850
82073, 0.785, 0.290, 0.632, 0.000, 2.686, 1.648, 24.816, -0.378, -0.909, 0.087, 1.038, -0.366, -0.183, 21.692, -0.208, 0.903, -0.430, 7.690, 6.409, 0.977, 19.910, 25.970, 19.850
82106, 0.782, 0.284, 0.638, -0.183, 2.686, 2.258, 24.810, -0.365, -0.912, 0.077, -0.244, -0.549, -1.404, 21.698, -0.208, 0.901, -0.435, 6.836, 5.981, 0.854, 19.952, 25.970, 19.850
82140, 0.779, 0.282, 0.637, -0.183, 1.831, 2.319, 24.837, -0.365, -0.906, 0.086, 0.244, -0.427, -0.427, 21.689, -0.203, 0.900, -0.437, 9.399, 4.761, 3.906, 19.967, 25.970, 19.850
